,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htns,abstractLabels,abstractLabels_v,abstractLabels_nm,causeLabels,questionLabel,effectLabels,qWord,qPhrase,auxVerb,actionVerb
0,633,1,0,0,0,1013,1015,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,suggestCriticalPriority,askCriticalPriority,agreeCriticalPriority,what,whatDo,do,think
1,633,2,0,0,0,989,987,clarifySomething,askCriticalRoom,ask,criticalRoom,shareKnowledgeUnique,askInformationRoom,confirmCriticalRoom,which,whichRoom,does,tell
2,633,3,0,0,0,971,969,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,askCollaborateTeam,clarifyCriticalRoom,confirmCriticalRoom,which,youSaid,nil,said
3,633,4,0,0,0,955,952,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,shareCriticalRoom,askInformationRoom,answer Room,do,doYou,do,have
4,633,5,0,0,0,886,884,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,shareKnowledgeUnique,askInformation,answerLocationVictim,did,didYou,did,have
5,633,6,0,0,0,852,850,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,shareLocationVictim,clarifyInformationVictim,confirmLocationVictim,which,whichOther,was,cancel
6,633,7,0,0,0,842,838,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,shareLocationVictim,askLocationVictim,confirmLocationVictim,which,whichRoom,nil,have
7,633,8,0,0,0,815,818,initiateCommitment,shareKnowledgeUnique,share,uniqueKnowledge,noticeInformationUnique,suggestCriticalLocation,agreeCriticalStabilize,if,ifWe,can,check
8,633,9,0,0,0,773,771,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,clarifyStatusVictim,confirmCriticalStatus,was,wasThis,was,victim
9,633,10,0,1,50,751,749,initiateCommitment,collaborateNavigationTeam,collaborate,teamNavigation,informLocation,confirmNavigationTeammate,agreeLocation,does,doesThat,do,sound
10,633,11,0,1,50,747,743,informNavigation,collaborateNavigationTeam,collaborate,teamNavigation,agreeLocation,informNavigation,answerNavigationTeam,inflection,inflection,nil,move
11,633,12,0,2,100,692,688,clearLocation,collaborateEnterTeam,collaborate,teamEnter,criticalRoomThreat,clarifyInformationThreatroom,confirmRoomEnterThreat,should,should_I,should,go
12,633,13,0,2,100,669,662,collaborateVictim,collaborateCriticalRescue,collaborate,criticalRescue,rescueCriticalThreatRoom,suggestCarryVictim,confirmCarryVictim,why,whyDon't,don't,grab
13,633,14,0,2,100,614,610,initiateCommitment,wakeCritical,wake,critical,noticeCriticalRoom,requestDestination,agreeDestinationTeammate,can,canYou,can,come
14,633,15,0,2,100,587,585,initiateCommitment,wakeCritical,wake,critical,noticeCriticalRoom,requestDestination,agreeDestinationTeammate,can,canYou,can,come
15,633,16,0,3,150,509,508,clarifySomething,noticeCriticalRoom,notice,criticalRoom,informLocationSelf,clarifyLocation,confirmLocation,inflection,okay,nil,nil
16,633,17,0,3,150,494,492,initiateCommitment,includeTeammate,include,teammate,noAnnotatedCause,askTeammateStatus,answerStatusVictim,how,howAre,do,do
17,633,18,0,4,200,474,472,askInformation,collaborateCarryStabilizedvictim,collaborate,stabilizedvictimCarry,answerStatusVictim,askLocationTeammate,suggestNavigationTeammate,where,whereAre,nil,are
18,633,19,2,6,320,289,284,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,noticeKnowledgeUnique,askUniqueKnowledge,answerKnowledgeUnique,who,WhoIs,can,tell
19,633,20,2,6,320,263,261,askInformation,clarifyRequestTeammate,clarify,requestTeammate,requestKnowledgeUnique,askInformationVictim,confirmKnowledgeUnique,do,doYou,do,need
