,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htn,abstractLabel,causeLabel,questionLabel,effectLabel,qWord,qPhrase,auxVerb,actionVerb
0,633,1,0,0,0,1013,1015,initiateCommitment,coordinateTeamPlan,suggestCriticalPriority,askCriticalPriority,agreeCriticalPriority,what,whatDo,do,think
1,633,2,0,0,0,989,987,clarifySomething,askCriticalRoom,shareUniqueKnowledge,askInformationRoom,confirmCriticalRoom,which,whichRoom,does,tell
2,633,3,0,0,0,971,969,clarifySomething,prioritizeCriticalLocation,askTeamCollaborate,clarifyCriticalRoom,confirmCriticalRoom,which,youSaid,nil,said
3,633,4,0,0,0,955,952,askInformation,shareUniqueKnowledge,shareCriticalRoom,askInformationRoom,answerRoom ,do,doYou,do,have
4,633,5,0,0,0,886,884,askInformation,shareUniqueKnowledge,shareUniqueKnowledge,askInformation,answerLocationVictim,did,didYou,did,have
5,633,6,0,0,0,852,850,clarifySomething,shareUniqueKnowledge,shareLocationVictim,clarifyInformationVictim,confirmLocationVictim,which,whichOther,was,cancel
6,633,7,0,0,0,842,838,clarifySomething,shareUniqueKnowledge,shareLocationVictim,askLocationVictim,confirmLocationVictim,which,whichRoom,nil,have
7,633,8,0,0,0,815,818,initiateCommitment,shareUniqueKnowledge,noticeUniqueInformation,suggestCriticalLocation,agreeCriticalStabilize,if,ifWe,can,check
8,633,9,0,0,0,773,771,clarifySomething,collaborateCarryStabilized,noAnnotatedCause,clarifyStatusVictim,confirmCriticalStatus,was,wasThis,was,victim
9,633,10,0,1,50,751,749,initiateCommitment,collaborateTeamNavigation,informLocation,confirmNavigationTeammate,agreeLocation,does,doesThat,do,sound
10,633,11,0,1,50,747,743,informNavigation,collaborateTeamNavigation,agreeLocation,informNavigation,answerTeamNavigation,inflection,inflection,nil,move
11,633,12,0,2,100,692,688,clearLocation,collaborateTeamEnter,criticalThreatRoom,clarifyInformationThreatroom,confirmThreatRoomEnter,should,should_I,should,go
12,633,13,0,2,100,669,662,collaborateVictim,collaborateCriticalRescue,rescueCriticalThreatRoom,suggestCarryVictim,confirmCarryVictim,why,whyDon't,don't,grab
13,633,14,0,2,100,614,610,initiateCommitment,wakeCritical,noticeCriticalRoom,requestDestination,agreeDestinationTeammate,can,canYou,can,come
14,633,15,0,2,100,587,585,initiateCommitment,wakeCritical,noticeCriticalRoom,requestDestination,agreeDestinationTeammate,can,canYou,can,come
15,633,16,0,3,150,509,508,clarifySomething,noticeCriticalRoom,informSelfLocation,clarifyLocation,confirmLocation,inflection,okay,nil,nil
16,633,17,0,3,150,494,492,initiateCommitment,includeTeammate,noAnnotatedCause,askTeammateStatus,answerStatusVictim,how,howAre,do,do
17,633,18,0,4,200,474,472,askInformation,collaborateStabilizedvictimCarry,answerStatusVictim,askLocationTeammate,suggestNavigationTeammate,where,whereAre,nil,are
18,633,19,2,6,320,289,284,askInformation,shareUniqueKnowledge,noticeUniqueKnowledge,askUniqueKnowledge,answerUniqueKnowledge,who,WhoIs,can,tell
19,633,20,2,6,320,263,261,askInformation,clarifyRequestTeammate,requestUniqueKnowledge,askInformationVictim,confirmUniqueKnowledge,do,doYou,do,need
20,633,21,2,6,320,236,233,initiateCommitment,implyBreakRubble,noticeRubbleLocation,suggestLocationRubble,askRequestTeammate,if,ifYou,can,know
21,633,22,2,6,320,226,224,initiateCommitment,implyBreakRubble,informTeammateRubble,clarifyDestinationRequest,confirmRubbleRequest,do,doYou,do,want
22,633,23,2,6,320,185,180,askInformation,breakRubbleLocation,shareCriticalLocation,askRubbleLocation,answerSelf,did,didYou,did,look
23,633,24,4,6,340,96,93,askInformation,clearCriticalArea,informCriticalRoom,clarifyLocationVictim,confirmLocationVictim,are,areThere,,are
24,633,25,5,6,340,40,38,collaborateVictim,collaborateCarryStabilized,carryStabilizedVictim,requestCarryVictim,carryStabilizedVictim,want,youWant,want,take
25,634,1,0,0,0,975,970,askInformation,prioritizeCriticalLocation,shareLocationRoom,clarifyLocationVictim,shareLocationVictim,what,whatMeeting,nil,have
26,634,2,0,0,0,951,947,clarifySomething,prioritizeCriticalLocation,shareLocationVictim,clarifyLocationVictim,confirmLocationVictim,can,canYou,can,repeat
27,634,3,0,0,0,947,944,askInformation,collaborateNavigate,shareLocationVictim,clarifyLocationVictim,confirmLocationVictim,what,youSaid,nil,said
28,634,4,0,0,0,918,916,askInformation,prioritizeCriticalLocation,shareLocationVictim,clarifyLocationVictim,answerLocationVictim,were,wereAny,were,cancel
29,634,5,0,0,0,873,871,initiateCommitment,collaborateNavigate,shareCriticalLocation,prioritizeNavigatePlan,confirmCriticalPriority,if,ifYou,are,okay
30,634,6,0,0,0,858,848,initiateCommitment,collaborateCriticalPriority,prioritizeCriticalVictim,requestDestination,informCriticalLocation,can,canYou,can,go
31,634,7,0,0,0,834,831,initiateCommitment,suggestNavigationTeammate,noticeRoomVictim,suggestNavigationTeammate,prioritizeCriticalNavigation,if,ifYou,want,move
32,634,8,0,1,50,791,790,clarifySomething,collaborateCriticalWake,noticeCritical,clarifyCriticalRoom,confirmCriticalRoom,inflection,inflection,nil,nil
33,634,9,0,1,50,789,788,initiateCommitment,collaborateCriticalWake,noticeCritical,requestDestination,confirmDestination,can,canYou,can,go
34,634,10,0,1,50,787,784,initiateCommitment,collaborateCriticalWake,noticeCriticalRoom,requestDestination,confirmDestination,can,canYou,can,come
35,634,11,0,2,100,737,736,initiateCommitment,askPlanStatus,prioritizeCarryStatus,askCarryStatus,answerCarryStatus,how,howAre,do,look
36,634,12,0,5,250,675,670,initiateCommitment,collaborateLocationVictim,noAnnotatedCause,askClearLocation,prioritizeLocationVictim,how,howAre,do,feeling
37,634,13,1,5,260,663,661,clarifySomething,prioritizeCriticalLocation,prioritizeCriticalLocation,clarifyClearLocation,confirmLocationPriority,inflection,inflection,nil,nil
38,634,14,2,5,270,644,642,askInformation,prioritizeCriticalLocation,noAnnotatedCause,clarifyLocationTeammate,clarifyTeamLocation,what,whatRoom,nil,are
39,634,15,2,5,270,632,619,askInformation,prioritizeCriticalLocation,prioritizeCriticalLocation,askLocationVictim,noAnnotatedEffect,did,didYou,did,check
40,634,16,2,5,270,618,617,clarifySomething,prioritizeCriticalLocation,noAnnotatedCause,clarifyQuestion,noAnnotatedEffect,which,whichRoom,nil,nil
41,634,17,2,5,270,614,612,askInformation,prioritizeCriticalLocation,prioritizeCriticalLocation,askClearLocation,confirmStatusVictim,did,didYou,did,clear
42,634,18,3,5,280,602,590,whatIfQuestion,collaborateVictimStabilize,blockedCarryVictim,askInformationStabilize,confirmVictimThrow,if,canYou,can,pass
43,634,19,3,5,280,580,576,rescueTeammate,requestRescueTeammate,announceThreatroomTrapped,requestRescueTeammate,confirmRescueTeammate,inflection,inflection,am,nil
44,634,20,3,5,280,569,562,clarifySomething,collaborateCarryVictim,noticeVictim,askStatusVictim,confirmStatusVictim,what,whatKind,nil,was
45,634,21,3,5,280,561,560,initiateCommitment,collaborateCriticalWake,noticeCritical,requestDestination,navigateCriticalWake,can,canYou,can,come
46,634,22,3,5,280,558,555,clarifySomething,collaborateCriticalLocation,noAnnotatedCause,askCriticalLocation,answerCriticalLocation,where,whereWas,nil,was
47,634,23,4,5,290,539,538,clarifySomething,prioritizeCriticalLocation,navigateCriticalLocation,clarifyCriticalRoom,answerCriticalRoom,inflection,inflection,nil,nil
48,634,24,5,6,350,460,457,initiateCommitment,collaborateCritical,stabilizedCritical,requestCarryStabilized,confirmCarryStabilized,can,canYou,can,grab
49,634,25,6,8,460,393,391,clarifySomething,collaborateVictimStabilize,announceRoomVictim,clarifyLocationVictim,confirmRoomVictim,are,youSaid,is,nil
50,634,26,9,8,490,330,328,clarifySomething,collaborateCriticalWake,announceCriticalRoom,suggestDestination,confirmCriticalWake,inflection,inflection,nil,nil
