video,obsNum,regular,critical,score,timeStart,timeEnd,Player,context,htn,inflection,abstractLabel,causeLabel,questionLabel,0.892,effectLabel,reasonWhyQuestionLabel,qWord,qPhrase,auxVerb,actionVerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,1,0,0,0,16:53,16:55,blue,blue suggests to target critical victim first 'to get the most points',initiateCommitment,no,coordinateTeamPlan,suggestCriticalPriority,askCriticalPriority,1,agreeCriticalPriority,,what,whatDo,do,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,2,0,0,0,16:29,16:27,red,,clarifySomething,no,askCriticalRoom,shareUniqueKnowledge,askInformationRoom,1,confirmCriticalRoom,"paraphrase 'so does your unique knowledge tell which room number has the types of damage?'

asking about critical information, from cause and previous utterance context. Abstract into information about critical because that is the reason they are asking about rooms.
",which,whichRoom,does,tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,3,0,0,0,16:11,16:09,red,,clarifySomething,no,prioritizeCriticalLocation,askTeamCollaborate,clarifyCriticalRoom,1,confirmCriticalRoom,"location instead of area. If area or location in utterance, use location, not room. If room number specified, use room. If series of rooms, use location.",which,youSaid,nil,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,4,0,0,0,15:55,15:52,red,htn,askInformation,no,shareUniqueKnowledge,shareCriticalRoom,askInformationRoom,1,answerRoom ,,do,doYou,do,have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,5,0,0,0,14:46,14:44,red,,askInformation,no,shareUniqueKnowledge,shareUniqueKnowledge,askInformation,1,answerLocationVictim,,did,didYou,did,have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,6,0,0,0,14:12,14:10,red,,clarifySomething,no,shareUniqueKnowledge,shareLocationVictim,clarifyInformationVictim,1,confirmLocationVictim,"Salena and Loren were askLocationPriority and askInformationRoom and the abstract was prioritizeCriticalLocation, so the primitive label is going to be askClearLocation because the players are talking about clearing by area for critical victims. use location instead of area. Use room if talking about a specific room. Use location if talking about a set of specific rooms next to each other.",which,whichOther,was,cancel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,7,0,0,0,14:02,13:58,red,,clarifySomething,no,shareUniqueKnowledge,shareLocationVictim,askLocationVictim,1,confirmLocationVictim,"asking, not clarifying; asking about set of rooms, not location; asking about location of victims, not the locations themselves and is motivated by victims, not rooms or clearing by area. abstract is to ask of unique knowledge and sharing in order to coordinate a plan.",which,whichRoom,nil,have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,8,0,0,0,13:35,13:38,blue,,initiateCommitment,no,shareUniqueKnowledge,noticeUniqueInformation,suggestCriticalLocation,1,agreeCriticalStabilize,"This is the example I shared in the planning meeting about ambiguity works for a phrase that has two different, independent and correct pieces of information; two independent annotators who correctly capture these two pieces of information, but the labels do not match. It is through the abstraction level that we can connect the two labels to create one label that captures both sets of data:label

suggestCriticalLocation",if,ifWe,can,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,9,0,0,0,12:53,12:51,green,,clarifySomething,no,collaborateCarryStabilized,noAnnotatedCause,clarifyStatusVictim,1,confirmCriticalStatus,"Victims carried and asked about were stabilized. This difference matters in other areas but not for labeling agreement.

Use clarify when asking about stabilized status (or confirm when aswering)",was,wasThis,was,victim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,10,0,1,50,12:31,12:29,red,,initiateCommitment,no,collaborateTeamNavigation,informLocation,confirmNavigationTeammate,0,agreeLocation,to include granularity of both labels,does,doesThat,do,sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
