,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htns,abstractLabels,abstractLabels_v,abstractLabels_nm,causeLabels,questionLabels,questionLabels_v,questionLabels_nm,effectLabels,qWord,qPhrase,auxVerb,actionVerb
0,633,1,0,0,0,1013,1015,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,suggestCriticalPriority,askCriticalPriority,ask,criticalPriority,agreeCriticalPriority,what,whatDo,do,think
1,633,2,0,0,0,989,987,clarifySomething,askCriticalRoom,ask,criticalRoom,shareKnowledgeUnique,askInformationRoom,ask,informationRoom,confirmCriticalRoom,which,whichRoom,does,tell
2,633,3,0,0,0,971,969,clarifySomething,prioritizeCriticalLocation,prioritize,criticalLocation,askCollaborateTeam,clarifyCriticalRoom,clarify,criticalRoom,confirmCriticalRoom,which,youSaid,nil,said
3,633,4,0,0,0,955,952,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,shareCriticalRoom,askInformationRoom,ask,informationRoom,answer Room,do,doYou,do,have
4,633,5,0,0,0,886,884,askInformation,shareKnowledgeUnique,share,uniqueKnowledge,shareKnowledgeUnique,askInformation,ask,information,answerLocationVictim,did,didYou,did,have
5,633,6,0,0,0,852,850,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,shareLocationVictim,clarifyInformationVictim,clarify,informationVictim,confirmLocationVictim,which,whichOther,was,cancel
6,633,7,0,0,0,842,838,clarifySomething,shareKnowledgeUnique,share,uniqueKnowledge,shareLocationVictim,askLocationVictim,ask,locationVictim,confirmLocationVictim,which,whichRoom,nil,have
7,633,8,0,0,0,815,818,initiateCommitment,shareKnowledgeUnique,share,uniqueKnowledge,noticeInformationUnique,suggestCriticalLocation,suggest,criticalLocation,agreeCriticalStabilize,if,ifWe,can,check
8,633,9,0,0,0,773,771,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noAnnotatedCause,clarifyStatusVictim,clarify,statusVictim,confirmCriticalStatus,was,wasThis,was,victim
9,633,10,0,1,50,751,749,initiateCommitment,collaborateNavigationTeam,collaborate,teamNavigation,informLocation,confirmNavigationTeammate,confirm,navigationTeammate,agreeLocation,does,doesThat,do,sound
10,633,11,0,1,50,747,743,informNavigation,collaborateNavigationTeam,collaborate,teamNavigation,agreeLocation,informNavigation,inform,navigation,answerNavigationTeam,inflection,inflection,nil,move
11,633,12,0,2,100,692,688,clearLocation,collaborateEnterTeam,collaborate,teamEnter,criticalRoomThreat,clarifyInformationThreatroom,clarify,informationThreatroom,confirmRoomEnterThreat,should,should_I,should,go
12,633,13,0,2,100,669,662,collaborateVictim,collaborateCriticalRescue,collaborate,criticalRescue,rescueCriticalThreatRoom,suggestCarryVictim,suggest,carryVictim,confirmCarryVictim,why,whyDon't,don't,grab
13,633,14,0,2,100,614,610,initiateCommitment,wakeCritical,wake,critical,noticeCriticalRoom,requestDestination,request,destination,agreeDestinationTeammate,can,canYou,can,come
14,633,15,0,2,100,587,585,initiateCommitment,wakeCritical,wake,critical,noticeCriticalRoom,requestDestination,request,destination,agreeDestinationTeammate,can,canYou,can,come
15,633,16,0,3,150,509,508,clarifySomething,noticeCriticalRoom,notice,criticalRoom,informLocationSelf,clarifyLocation,clarify,location,confirmLocation,inflection,okay,nil,nil
16,633,17,0,3,150,494,492,initiateCommitment,includeTeammate,include,teammate,noAnnotatedCause,askStatusTeammate,ask,teammateStatus,answerStatusVictim,how,howAre,do,do
17,633,18,0,4,200,474,472,askInformation,collaborateCarryStabilizedvictim,collaborate,stabilizedvictimCarry,answerStatusVictim,askLocationTeammate,ask,locationTeammate,suggestNavigationTeammate,where,whereAre,nil,are
